商品ｺｰﾄﾞ	商品名	商品名索引	主仕入先ｺｰﾄﾞ	主仕入先名	標準売上単価	標準仕入単価	在庫評価単価	上代単価	新単価実施日	新標準売上単価	新標準仕入単価	新在庫評価単価	新上代単価	在庫状況ｺｰﾄﾞ	在庫状況名	商品大分類ｺｰﾄﾞ	商品大分類名	商品小分類ｺｰﾄﾞ	商品小分類名	商品種別ｺｰﾄﾞ	商品種別名	在庫保有ｺｰﾄﾞ	在庫保有名	棚コードｺｰﾄﾞ	棚コード名	倉庫保有ｺｰﾄﾞ	倉庫保有名	適正在庫数量	期首残数量	期首残金額	ﾏｽﾀｰ検索表示区分	ﾏｽﾀｰ検索表示区分名	JANｺｰﾄﾞ	
10008	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-796	pc-796	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10009	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-797	pc-797	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130007	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-04	ss101-04	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130008	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-05	ss101-05	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130009	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-06	ss101-06	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10010	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-795	pc-795	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10011	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-796	pc-796	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10012	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-797	pc-797	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130010	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-04	ss101-04	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130011	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-05	ss101-05	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130012	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-06	ss101-06	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
1410001	ﾃｸﾉｽ TSM411PN	tsm411pn	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862182	
1410002	ﾃｸﾉｽ TSM411TW	tsm411tw	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862199	
1410003	ﾃｸﾉｽ TSM412NB	tsm412nb	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862205	
1410004	ﾃｸﾉｽ TSM412SB	tsm412sb	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862212	
1410005	ﾃｸﾉｽ TSM914IB	tsm914ib	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862243	
1410006	ﾃｸﾉｽ TSM914IS	tsm914is	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862250	
1410007	ﾃｸﾉｽ TSM616SB	tsm616sb	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862281	
1410008	ﾃｸﾉｽ TSM616TS	tsm616ts	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862298	
1410009	ﾃｸﾉｽ TSL613PW	tsl613pw	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862229	
1410010	ﾃｸﾉｽ TSL613TW	tsl613tw	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862236	
1410011	ﾃｸﾉｽ TSL915IW	tsl915iw	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862267	
1410012	ﾃｸﾉｽ TSL915IS	tsl915is	100088	有限会社　ティーツー		4650.000	4650.000	35000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4589911862274	
