supplier_code,supplier_name,supplier_index,supplier_zipcode,supplier_address1,supplier_address2,supplier_address3,supplier_tel,supplier_fax,supplier_email,supplier_salerep,supplier_industrytype,supplier_businesstype,supplier_information
100135,株式会社　リンク,ﾘﾝｸ,557-0031,大阪府大阪市西成区,鶴見橋2-8-12,,06-7504-8463,06-6568-0775,,,,,
100136,株式会社ホッタインターナショナル,ﾎｯﾀｲﾝﾀ,104-0061,東京都中央区,銀座7-13-10,日本興亜銀座ビル　2階,03-6226-4715,03-6225-4719,,,,,
100137,株式会社　エムメリディアン,ｴﾑﾒﾘﾃﾞ,107-0052,東京都港区,赤坂4-1-33,赤坂中西ビル5F,03-3586-9455,03-3586-7875,,,,,
100138,株式会社　五十君商店,ｲｷﾞﾐｼｮ,110-0005,東京都台東区,上野5-24-1,,03-3831-8035,03-3835-9451,,,,,
100139,株式会社　ドンキーボックス,ﾄﾞﾝｷｰﾎ,114-0012,東京都北区,田端新町1-7-9,相光ビル3F,03-6240-8971,03-6240-8972,,,,,
100140,ｽｳｫｯﾁｸﾞﾙｰﾌﾟｼﾞｬﾊﾟﾝ　株式会社,ｽｳｫｯﾁｸ,1048188,東京都中央区,銀座7-9-18,ニコラス･G･ハイエックセンター,03-6254-7400,03-6254-7127,,,,,
100141,タパック　株式会社,ﾀﾊﾟｯｸ,160-0022,東京都新宿区,新宿1-11-12,岩下ビル　6F,03-3354-5341,03-3354-5346,,,,,
100142,株式会社　サエラ研究所,ｻｴﾗｹﾝｷ,140-0001,東京都品川区,北品川1-22-17-408,,03-5463-1629,03-5463-2278,,,,,
100143,MGIジャパン　株式会社,ｴﾑｼﾞｰｱ,108-0074,東京都港区,高輪3-4-1,高輪偕成ビル3F,03-6408-0719,03-6408-0729,,,,,
100144,ノア精密　株式会社,ﾉｱｾｲﾐﾂ,111-0042,東京都台東区,寿1-6-7,ユーハイツ伸光,03-3841-9507,03-3841-9987,,,,,
100145,C&C　株式会社,ｼｰｱﾝﾄﾞ,6048161,京都府京都市中京区烏丸通六角下る,七観音町629-1,,075-231-6577,075-231-2966,,,,,
100146,原田商会　株式会社,ﾊﾗﾀﾞｼｮ,532-0031,大阪府大阪市淀川区,加島3-2-15,,06-6306-0777,06-6306-0766,,,,,
100147,アイウォッチ　有限会社,ｱｲｳｫｯﾁ,393-0000,長野県諏訪郡下諏訪町9548番地,,,0266-28-9961,0266-28-9961,,,,,
100148,株式会社　フレグリー,ﾌﾚｸﾞﾘｰ,271-0092,千葉県松戸市,松戸2060,松戸商工会議所　別館　2F,047-711-5750,047-711-5740,,,,,
100149,スウォッチグループジャパン,ｽｳｫｯﾁｸ,104-8188,東京都中央区,銀座7-9-18,ニコラス・G・ハイエックセンター,03-6254-7279,03-3545-7124,,,,,
100150,株式会社　フォッシルジャパン,ﾌｫｯｼﾙｼ,151-0051,東京都渋谷区,千駄ケ谷5-33-8,SOUTH GATE新宿　7F,03-5312-2361,03-5312-2362,,,,,
100151,株式会社　ﾄﾗﾝｽﾖｰﾛｯﾊﾟｺｰﾎﾟﾚｰｼｮﾝ,ﾄﾗﾝｽﾖｰ,110-0015,東京都台東区,東上野2-10-13,フォーチュン福田ビル2F,03-5826-4250,03-5826-4249,,,,,
100152,栄光時計　株式会社,ｴｲｺｳﾄｹ,541-0059,大阪府大阪市中央区,博労町3-3-1,,06-6244-8805,,,,,,
100153,ｱﾚｸｻﾝﾄﾞﾗ・ｼﾞｬﾊﾟﾝ・ﾘﾐﾃｯﾄﾞ,ｱﾚｸｻﾝﾄ,103-0027,東京都中央区,日本橋3-5-9-301,,03-3245-0211,03-3245-0213,,,,,
100154,"I　WATCH　CO.,LTD",ｱｲｳｫｯﾁ,,"Room 1102A,OCEAN CENTRE,HARBOUR",CITY KOWLOON H.K,,,,,,,,
100155,株式会社　天賞堂,ﾃﾝｼｮｳﾄ,104-0061,東京都中央区,銀座4-3-9,,03-3561-0101,03-3561-0104,,,,,
100156,トーショー　株式会社,ﾄｰｼｮｰ,230-0052,神奈川県横浜市鶴見区,生麦4-5-11,新興プランテックビル2F,045-508-3388,,,,,,
100157,"COMTECH WATCHES(PRODUCTS)CO.,LTD",ｺﾑﾃｯｸ,,,,,852-24192829,852-24191516,,,,,
100158,株式会社　フィフティ50,ﾌｨﾌﾃｨ5,132-0035,東京都江戸川区,平井5-27-6,アーバンコート精2F,03-5247-3981,03-5247-3982,,,,,
100159,株式会社　ｼｪﾙｳｯﾄﾞｱﾝﾄﾞﾃｨﾌｧﾆｨ,ｼｪﾙｳｯﾄ,541-0054,大阪府大阪市中央区,南本町1-3-5,JSKビル,06-6261-4281,06-6261-4280,,,,,
100160,株式会社　タイムクラブ,ﾀｲﾑｸﾗﾌ,541-0048,大阪府大阪市中央区,瓦町1-4-6,,06-6205-4284,06-6205-4280,,,,,
100161,株式会社　ﾌｧｲﾌﾞｽﾀｰﾄﾚｰﾃﾞｨﾝｸﾞ,ﾌｧｲﾌﾞｽ,556-0006,大阪府大阪市浪速区,日本橋東1-1-5,SK BUILDING 2F,06-6645-5656,06-6645-5857,,,,,
100162,平和堂貿易　株式会社,ﾍｲﾜﾄﾞｳ,107-0052,東京都港区,赤坂4-1-33,赤坂中西ビル4F,03-3586-1811,,,,,,
100163,ｽｳｫｯﾁｸﾞﾙｰﾌﾟｼﾞｬﾊﾟﾝ　株式会社,ﾊﾐﾙﾄﾝ,1048188,東京都中央区,銀座7-9-18,ニコラス・G・ハイエックセンター,03-6254-7200,,,,,,
100164,ランガージャパン　株式会社,ﾗﾝｶﾞｰｼ,162-0845,東京都新宿区,市谷本村町3-28,新日本市ヶ谷ビル1F,03-6265-0030,03-6265-0031,,,,,
100165,株式会社　タルガ,ﾀﾙｶﾞ,104-0061,東京都中央区,銀座2-12-12,深山ビル　6階A,03-5550-2355,03-5550-2352,,,,,
100166,ユーロパッション　株式会社,ﾕｰﾛﾊﾟｯ,542-0081,大阪府大阪市中央区,南船場2-7-11,心斎橋ビル5F,06-6268-5154,06-6268-5030,,,,,
100167,株式会社　明光,ﾒｲｺｳ,132-0023,東京都江戸川区,西一之江2-22-22,,03-3656-3391,03-3654-3717,,,,,
100168,プーマタイムアフターサービス,ﾌﾟｰﾏﾀｲ,104-0061,東京都中央区,銀座1-2-4,サクセス銀座ファーストビルB1F,03-5524-6781,03-5250-2110,,,,,
100169,ジェントス　株式会社,ｼﾞｪﾝﾄｽ,110-0008,東京都台東区,池之端2-7-17,,03-3824-1667,03-3823-2558,,,,,
100170,"MYWA SWISS WATCH&Jewellery LTD.,",ﾏｲﾜ,,,,,,,,,,,
100171,サンイーグル装身具　株式会社,ｻﾝｲｰｸﾞﾙ,101-0031,東京都千代田区,東神田1-9-8,ミユキビル8階,03-5822-7410,03-3864-7701,,,,,
100172,nano color,ﾅﾉｶﾗｰ,577-0033,大阪府東大阪市,御厨東1-6-20,,080-3111-8989,,,,,,
100173,有限会社　SHOW Me,ｼｮｳｰﾐｰ,564-0051,大阪府吹田市,豊津町11-16,第一かつみビル3F,06-6190-7887,06-4861-1777,,,,,
100174,株式会社　A.I.C,ｴｰｱｲｼｰ,564-0063,大阪府吹田市,江坂町1-12-4,第2江坂ソリトンビル2階,06-6318-6589,06-6310-7168,,,,,
100175,株式会社　DKSHジャパン,ﾃﾞｨｰｹｲ,1088360,東京都港区三田3-4-19,,,03-5441-4515,,,,,,
100176,BEIJING BLOSSOM INTERNATIONAL,BEIJIN,,,,,,,,,,,
100177,オフィスハッシュ　株式会社,ｵﾌｨｽﾊｯ,150-0021,東京都渋谷区,恵比寿西2-20-8,パーフェクトルーム617,03-3476-0003,03-5784-4727,,,,,
100178,株式会社　ベル,ﾍﾞﾙ,157-0071,東京都世田谷区,千歳台1-39-15,,03-3483-7766,03-3483-7921,,,,,
100179,LONGITUDE LTD,ﾛﾝｼﾞﾁｭ,,,,,,,,,,,
100180,アクセソ・モーダ,ｱｸｾｿ･ﾓ,631-0078,奈良県奈良市,富雄元町2丁目3-29-1,上田ビル305,0742-55-1700,0742-55-1700,,,,,
100181,株式会社　富士精密,ﾌｼﾞｾｲﾐ,354-0031,埼玉県富士見市,勝瀬889-1,,049-277-7566,049-263-8481,,,,,
100182,AVANTCO,ｱﾊﾞﾝﾁｺ,,,,,,,,,,,
100183,アドミラル産業　株式会社,ｱﾄﾞﾐﾗﾙ,111-0043,東京都台東区,駒形1-2-13,,03-3843-9662,03-3843-9661,,,,,
100184,株式会社　ANDOROS,ｱﾝﾄﾞﾛｽ,154-0004,東京都世田谷区,太子堂1-4-17,FビルB1,03-6770-7512,03-5431-0472,,,,,
100185,レビュートーメンジャパン,ﾚﾋﾞｭｰﾄ,110-0005,東京都台東区,上野3-10-10,関東ビル5F,03-5812-6880,03-5812-6881,,,,,
100186,ウインデージア,ｳｲﾝﾃﾞｰ,286-0033,千葉県成田市,花崎町799-7,ホクセイビル4F,0476-20-2660,0476-20-2661,,,,,
100187,PHILIPPE SALVET(FAR EAST)LTD,ﾌｨﾘｯﾌﾟ,,"SUITEB,6F,Ritz plaza122 Austin",Road Kln. H.K,,852-2302-0477,,,,,,
100188,株式会社　ヨヴィッサジャパン,ﾖｳﾞｨｯｻ,235-0021,神奈川県横浜市磯子区,岡村1-3-10,,045-754-1923,045-754-1922,,,,,
100189,有限会社　ｽｷﾞﾔﾏｻﾝｼｬｲﾝ,ｽｷﾞﾔﾏｻ,170-6002,東京都豊島区,東池袋3-1-2,ｻﾝｼｬｲﾝｱﾙﾊﾟ2F　48号,03-3987-4080,03-3987-4308,,,,,
100190,株式会社　シーマジャパン,ｼｰﾏｼﾞｬ,354-0014,埼玉県富士見市,水谷2-10-4,,049-254-1511,049-254-1510,,,,,
100191,株式会社　マツダ,ﾏﾂﾀﾞ,604-8206,京都府京都市中京区,新町三条上ル町頭町91,,075-221-5111,,,,,,
100192,セイコークロック　株式会社,ｾｲｺｰｸﾛ,1358557,東京都江東区福住2-4-3,,,03-5639-6500,,,,,,
100193,株式会社　アースライズ,ｱｰｽﾗｲｽ,175-0083,東京都板橋区,徳丸6-51-10-801,,048-299-4953,048-299-4954,,,,,
100194,TIME MODULE(H.K)LTD,ﾀｲﾑﾓｼﾞ,,"Room2501,Metroplaza Tower2,223","Hing Fong Road,Kwai Fong,N.T.,",Hong Kong,852-2429-7979,852-2420-6992,,,,,
100195,DELTA LINK ENTERPRISES LTD,ﾃﾞﾙﾀﾘﾝ,,"UNIT20-21,8F BLOCK B,HI TECHIND",CTR.491-501 CASTLE PEAKRD.TSUEN,"WAN,N,T,HONG KONG",,,,,,,
100196,株式会社　イートランス,ｲｰﾄﾗﾝｽ,577-0012,大阪府東大阪市,長田東2-1-13,,06-6748-8080,06-6748-8088,,,,,
100197,株式会社　NCO製作所,ｴﾇｼｰｵｰ,110-0014,東京都台東区,北上野2-24-10,,03-3843-7905,03-3843-7218,,,,,
100198,Luna Kairos,ﾙﾅｶﾙﾛｽ,350-1335,埼玉県狭山市,柏原2580-48,,04-2952-9495,04-2952-9495,,,,,
100199,ﾌｪﾃﾞｯｸｽ下請け運送,ﾌｪﾃﾞｯｸ,,,,,,,,,,,
100200,WAVE PROMOTIONS LTD,ｳｪｰﾌﾞﾌ,,,,,,,,,,,
100201,協和精工　株式会社,ｷｮｳﾜｾｲ,277-0855,千葉県柏市,南柏1-1-2,富士物産ビル5F(柏営業所）,04-7142-7381,04-7147-7772,,,,,
100202,ATOP PRECISION IND.CO.LTD,ATOP P,,,,,,,,,,,
100203,ブレインプロダクツ　株式会社,ﾌﾞﾚｲﾝﾌﾟﾛﾀﾞ,104-0028,東京都中央区,八重洲２丁目5-12,プレリー八重洲ビル7F,03-3527-9510,03-3527-9462,,,,,
100204,有限会社　ﾖｼﾀﾞﾄﾚｰﾄﾞｶﾝﾊﾟﾆｰ,ﾖｼﾀﾞﾄﾚｰﾄﾞ,106-0031,東京都港区,西麻布2-26-7,,03-5774-9042,03-5774-9043,,,,,
100205,アデッソ　株式会社,ｱﾃﾞｯｿ ｶﾌﾞｼ,140-0013,東京都品川区,南大井6-17-10,大森レインボービル2F,03-5762-8756,03-5718-2380,,,,,
100206,三善産業　株式会社,ﾐﾖｼｻﾝｷﾞｮｳ,111-0055,東京都台東区,三筋1-4-12,,03-3862-4892,03-3862-4890,,,,,
100207,有限会社　ﾌｫｰｶｽｺｰﾎﾟﾚｰｼｮﾝ,ﾌｫｰｶｽｺｰﾎﾟﾚ,533-0033,大阪府大阪市東淀川区,東中島1-20-14,東口ステーションビル3F,06-6815-8693,06-6815-8694,,,,,
100208,有限会社　BLUES,ﾌﾞﾙｰｽ,150-0001,東京都渋谷区,神宮前2-6-7,神宮前ファッションビル5F,03-6438-9913,03-6438-9914,,,,,
100209,GROVANA WATCH COMPANY LTD,ｸﾞﾛﾊﾞﾅｳｫｯﾁ,,"BISNACHT WEG42,CH-4456 TENNIKEN",SWITZERLAND,,41619714255,41619714281,,,,,
100210,内田ゴールド　株式会社,ｳﾁﾀﾞｺﾞｰﾙﾄﾞ,111-0043,東京都台東区,駒形1-12-6,,03-3864-0001,03-3864-5555,,,,,
100211,有限会社　Roki,ﾛｷ,168-0073,東京都杉並区,下高井戸4-35-10,S-CORRIDOR C-1-2,03-5357-8464,03-5357-8465,,,,,
100212,株式会社　ライテック,ﾗｲﾃｯｸ,111-0053,東京都台東区,浅草橋2-13-9,,03-3861-5151,03-3851-2289,,,,,
