"仕入先ｺｰﾄﾞ","仕入先名１","仕入先名２","仕入先名略称","仕入先名索引","郵便番号","住所１","住所２","住所３","カスタマバーコード","電話番号","ＦＡＸ番号","支払先ｺｰﾄﾞ","支払先名","支払先区分名","担当者ｺｰﾄﾞ","担当者名","締日１","締日２","締日３","支払日１","支払日２","支払日３","支払ｻｲｸﾙ１","支払ｻｲｸﾙ名１","支払ｻｲｸﾙ２","支払ｻｲｸﾙ名２","支払ｻｲｸﾙ３","支払ｻｲｸﾙ名３","支払条件１","支払条件名１","支払条件２","支払条件名２","支払条件３","支払条件名３","金額処理区分名","消費税免税区分名","仕入単価設定区分名","消費税計算区分名","消費税計算単位","消費税分解区分名","支払明細書出力ﾀｲﾌﾟ名","支払明細書出力形式名","仕入先台帳出力形式名","支払消費税算出単位名","期首買掛残高","前回支払残高","相殺得意先ｺｰﾄﾞ","相殺得意先名","日付印字区分名","相手先担当者名","ﾏｽﾀｰ検索表示区分名","注文書出力区分名","個別設定入力行数"
"100034","奥村嘉次","","奥村嘉次","ｵｸﾑﾗ","270-0114","千葉県流山市","東初石3-127-4","","27001143-127-4","0471-52-6676","0471-52-6676","100034","奥村嘉次","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",0,"現金",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100035","株式会社　第一昭和","","㈱第一昭和","ﾀﾞｲｲﾁｼ","103-0001","東京都中央区","日本橋小伝馬町7-10","","10300017-10","03-3667-0761","03-3249-5297","100035","㈱第一昭和","通常","000008","河田哲哉",20,0,0,10,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100036","有限会社　タイムリバース","","㈲タイムリバース","ﾀｲﾑﾘﾊﾞ","110-0016","東京都台東区","台東4-6-5","御徒町グリーンプラザ703","11000164-6-5-703","03-5688-5556","","100036","㈲タイムリバース","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100038","株式会社　タックルプランニング","","㈱ﾀｯｸﾙﾌﾟﾗﾝﾆﾝｸﾞ","ﾀｯｸﾙﾌﾟ","564-0051","大阪府吹田市","豊津町11-16","第一かつみビル2F","564005111-16-2","06-4861-0777","06-4861-1777","100038","㈱ﾀｯｸﾙﾌﾟﾗﾝﾆﾝｸﾞ","通常","000011","三島和晃",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100040","株式会社　中部プロット","","㈱中部プロット","ﾁｭｳﾌﾞﾌ","440-0851","愛知県豊橋市","前田南町1-9-21","","44008511-9-21","0532-51-1801","0532-51-1881","100040","㈱中部プロット","通常","000015","石井伸洋",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100041","ツダカ商事　株式会社","","ツダカ商事㈱","ﾂﾀﾞｶｼｮ","541-0059","大阪府大阪市中央区","博労町3-1-7","","54100593-1-7","06-6245-5588","06-6251-5739","100041","ツダカ商事㈱","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100043","株式会社　東英","","㈱東英","ﾄｳｴｲ","550-0023","大阪府大阪市西区","千代崎1-16-10","Aトレードビル","55000231-16-10A","06-6584-3656","","100043","㈱東英","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100047","株式会社　ドリテック","","㈱ドリテック","ﾄﾞﾘﾃｯｸ","343-0824","埼玉県越谷市","流通団地2-3-9","","34308242-3-9","048-961-1500","048-297-8433","100047","㈱ドリテック","通常","000015","石井伸洋",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",20951,0,"000000","","西暦","","表示","出力対象",0
"100050","ビー・アイモントル　株式会社","","ビー・アイモントル","ﾋﾞｰ･ｱｲ","103-0002","東京都中央区","日本橋馬喰町1-3-3","日本橋TKビル4F","10300021-3-3-4","03-5641-1450","03-5641-1455","100050","ビー・アイモントル","通常","000008","河田哲哉",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100054","株式会社　フジサワ","","㈱フジサワ","ﾌｼﾞｻﾜ","120-0044","東京都足立区","千住緑町1-15-1","","12000441-15-1","03-3882-1991","03-3882-0738","100054","㈱フジサワ","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100055","株式会社　ベアーズ","","㈱ベアーズ","ﾍﾞｱｰｽﾞ","120-0021","東京都足立区","日ノ出町14-3","","120002114-3","03-3881-1218","","100055","㈱ベアーズ","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",21060,21060,"000000","","西暦","","表示","出力対象",0
"100056","三星産業貿易　株式会社","","三星産業貿易㈱","ﾐﾂﾎﾞｼｻ","577-0053","大阪府東大阪市","高井田8-10","","57700538-10","06-6782-3155","06-6787-3187","100056","三星産業貿易㈱","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"100056","三星産業貿易㈱","西暦","","表示","出力対象",0
"100057","時計屋　ケイズショップ","有限会社　ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","㈲ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","ﾒｲﾌｫｰｺ","152-0035","東京都目黒区","自由が丘1-28-8","自由が丘デパート　B1","15200351-28-8-B1","04-7136-2328","04-7136-2328","100057","㈲ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100058","株式会社　ユナイテッド","トラストコーポレーション","ﾕﾅｲﾃｯﾄﾞﾄﾗｽﾄｺｰﾎﾟﾚｰｼｮﾝ","ﾕﾅｲﾃｯﾄ","171-0021","東京都豊島区","西池袋5-26-19","陸王西池袋ビル7","17100215-26-19-7","03-5995-2801","03-5995-2775","100058","ﾕﾅｲﾃｯﾄﾞﾄﾗｽﾄｺｰﾎﾟﾚｰｼｮﾝ","通常","000008","河田哲哉",20,0,0,30,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100063","アクシェ・インターナショナル","株式会社","ｱｸｼｪｲﾝﾀｰﾅｼｮﾅﾙ㈱","ｱｸｼｪ･ｲ","110-0016","東京都台東区","台東3-35-7","ペガサスミシンビル502","11000163-35-7-502","03-3833-3822","03-3833-3821","100063","ｱｸｼｪｲﾝﾀｰﾅｼｮﾅﾙ㈱","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100064","井島貴金属精錬　株式会社","","井島貴金属精錬","ｲｼﾞﾏｷｷ","116-0013","東京都荒川区","西日暮里2-50-10","","11600132-50-10","03-3803-1705","","100064","井島貴金属精錬","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",0,"現金",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100065","ジェムクリニックセンター","","ｼﾞｪﾑｸﾘﾆｯｸｾﾝﾀｰ","ｼﾞｪﾑｸﾘ","110-0005","東京都台東区","上野5-16-6","信宝ビル3F","11000055-16-6-3","03-3834-6371","03-3836-3647","100065","ｼﾞｪﾑｸﾘﾆｯｸｾﾝﾀｰ","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100066","株式会社","トレジャーインターナショナル","㈱ﾄﾚｼﾞｬｰｲﾝﾀｰﾅｼｮﾅﾙ","ﾄﾚｼﾞｬｰ","110-0015","東京都台東区","東上野1-13-5","","11000151-13-5","03-3833-5836","03-3833-5837","100066","㈱ﾄﾚｼﾞｬｰｲﾝﾀｰﾅｼｮﾅﾙ","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100067","有限会社　フォービート","","㈲フォービート","ﾌｫｰﾋﾞｰ","114-0011","東京都北区","昭和町2-1-6","中久喜ビル303","11400112-1-6-303","03-3800-0155","03-3800-0155","100067","㈲フォービート","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100068","有限会社　ヨシダ","","㈲ヨシダ","ﾖｼﾀﾞ","350-0027","埼玉県川越市","南田島598-1","","3500027598-1","0492-46-2231","0492-46-2232","100068","㈲ヨシダ","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100069","入倉宝飾　有限会社","","入倉宝飾㈲","ｲﾘｸﾗﾎｳ","173-0026","東京都板橋区","中丸町54-1","","173002654-1","03-3955-5772","03-3955-5778","100069","入倉宝飾㈲","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100070","ECO-HARU（FAR　EAST)LIMITED","","ECO-HARU（FAR　EAST)","ｴｺﾊﾙ","","","","","","","","100070","ECO-HARU（FAR　EAST)","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100071","EGANA OF SWITZERLAND(F.E)LTD","","EGANA OF SWITZERLAND","ｴｶﾞﾅ","","","","","","","","100071","EGANA OF SWITZERLAND","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100072","MIRNAR TRADERS LIMITED","","MIRNAR TRADERS LIMIT","ﾐﾙﾅｰﾙ","","","","","","","","100072","MIRNAR TRADERS LIMIT","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"200144","MIRNAR　TRADERS　LIM","西暦","","表示","出力対象",0
"100073","QPF LTD","","QPF LTD","ｷｭｰﾋﾟｰ","","","","","","","","100073","QPF LTD","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100074","HAYASHI COMPANY","","HAYASHI COMPANY","ﾊﾔｼ","","","","","","","","100074","HAYASHI COMPANY","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100075","KENTEX TIME CO.,LTD","","KENTEX TIME CO.,LTD","ｹﾝﾃｯｸｽ","","Room4,11/F,Sun Cheong Industrial","Building2-4 Cheung Yee Street,","Cheung Sha Wan,Kowloon,Hong Kong","","","","100075","KENTEX TIME CO.,LTD","通常","000008","河田哲哉",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100077","SKY SILVER LIMITED","","SKY SILVER LIMITED","ｽｶｲｼﾙﾊ","","","","","","","","100077","SKY SILVER LIMITED","通常","000008","河田哲哉",30,0,0,25,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100078","EVERGREEN MST CO.,LTD","","EVERGREEN MST CO.,LT","ｴﾊﾞｰｸﾞ","","","","","","","","100078","EVERGREEN MST CO.,LT","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100079","スウォッチグループジャパン","株式会社　ﾗﾄﾞｰ事業部","ｽｳｫｯﾁｸﾞﾙｰﾌﾟﾗﾄﾞｰ","ﾗﾄﾞｰ","104-8188","東京都中央区","銀座7-9-18","ニコラス・G・ハイエックセンター","10400617-9-18-G","03-6254-7330","03-6254-7125","100079","ｽｳｫｯﾁｸﾞﾙｰﾌﾟﾗﾄﾞｰ","通常","000011","三島和晃",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",181440,0,"000000","","西暦","","表示","出力対象",0
"100080","株式会社　DINKS","","㈱DINKS","ﾃﾞｨﾝｸｽ","543-0024","大阪府大阪市天王寺区","舟橋町5-19","舟橋ビル1F","54300245-19-1","06-6762-4500","06-6768-9955","100080","㈱DINKS","通常","000011","三島和晃",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"500034","㈱ディンクス","西暦","","表示","出力対象",0
"100081","スウォッチグループジャパン","株式会社　ﾛﾝｼﾞﾝ事業部","ｽｳｫｯﾁｸﾞﾙｰﾌﾟﾛﾝｼﾞﾝ","ﾛﾝｼﾞﾝ","104-8188","東京都中央区","銀座7-9-18","ニコラス・G・ハイエックセンター","10400617-9-18-G","03-6254-7350","03-6254-7125","100081","ｽｳｫｯﾁｸﾞﾙｰﾌﾟﾛﾝｼﾞﾝ","通常","000011","三島和晃",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100083","㈱ライズ","","㈱ライズ","ﾗｲｽﾞ","337-0051","埼玉県さいたま市見沼区大宮","5-30-12-7F","","33609155-30-12-7","048-686-0307","048-686-9788","100083","㈱ライズ","通常","000011","三島和晃",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100084","株式会社　ティ・エヌ・ノムラ","","㈱ティ・エヌ・ノムラ","ﾃｨｴﾇ","542-0081","大阪府大阪市中央区","南船場1-11-3-5F","","54200811-11-3-5","06-6265-3540","06-6265-3542","100084","㈱ティ・エヌ・ノムラ","通常","000015","石井伸洋",20,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100085","株式会社　三島商事","","㈱三島商事","ﾐｼﾏｼｮｳ","111-0056","東京都台東区","小島2-20-7","扶桑御徒町ビル7階","11100562-20-7-7","03-6277-4211","03-6277-4212","100085","㈱三島商事","通常","000015","石井伸洋",30,0,0,10,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",187596,52920,"100085","㈱三島商事","西暦","","表示","出力対象",0
"100086","氏家商事　株式会社","","氏家商事㈱","ｳｼﾞｲｴｼ","124-0012","東京都葛飾区","立石7-2-5","","12400127-2-5","03-3697-9138","03-3697-9134","100086","氏家商事㈱","通常","000008","河田哲哉",20,0,0,30,0,0,0,"当月",0,"",0,"",9,"指定なし",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100087","ねのひ","","ねのひ","ﾈﾉﾋ","547-0024","大阪府大阪市平野区","瓜破4-2-45","","54700244-2-45","06-6790-7633","","100087","ねのひ","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",0,"現金",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100088","有限会社　ティーツー","インターナショナル","㈲ﾃｨｰﾂｰｲﾝﾀｰﾅｼｮﾅﾙ","ﾃｨｰﾂｰ","564-0051","大阪府吹田市","豊津町11-16","第一かつみビル2F","564005111-16-2","06-6190-1166","06-4861-1777","100088","㈲ﾃｨｰﾂｰｲﾝﾀｰﾅｼｮﾅﾙ","通常","000015","石井伸洋",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",3818415,4998510,"000000","","西暦","","表示","出力対象",0
"100089","SUN　KEY　TIME　CO.,LTD.","","SUN　KEY　TIME　CO.,","ｻﾝｹｲ","","","","","","","","100089","SUN　KEY　TIME　CO.,","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100090","スウォッチグループジャパン","株式会社　CKｳｫｯﾁ事業部","ｽｳｫｯﾁｸﾞﾙｰﾌﾟCK","ｼｰｹｰ","104-8188","東京都中央区","銀座7-9-18","ニコラス・G・ハイエックセンター","10400617-9-18-G","03-6254-7380","03-6254-7124","100090","ｽｳｫｯﾁｸﾞﾙｰﾌﾟCK","通常","000011","三島和晃",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",3454301,-60588,"000000","","西暦","","表示","出力対象",0
"100091","株式会社　エフエフ商事","","㈱エフエフ商","ｴﾌｴﾌｼｮ","167-0051","東京都杉並区","荻窪4-32-2","","16700514-32-2","03-3392-1333","03-3393-0284","100091","㈱エフエフ商","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100092","石福ジュエリーパーツ","株式会社","石福ジュエリーパーツ","ｲｼﾌｸｼﾞ","110-0005","東京都台東区","上野5-22-6","","11000055-22-6","03-3832-5241","03-3836-2063","100092","石福ジュエリーパーツ","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",9,"指定なし",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100093","株式会社　サンブランド","","㈱サンブランド","ｻﾝﾌﾞﾗﾝ","543-0018","大阪府大阪市天王寺区","空清町10-1","","543001810-1","06-6767-6333","06-6767-6336","100093","㈱サンブランド","通常","000015","石井伸洋",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",1138452,447606,"000000","","西暦","","表示","出力対象",0
"100094","株式会社　ヨシダ宝飾","","㈱ヨシダ宝飾","ﾖｼﾀﾞﾎｳ","142-0064","東京都品川区","旗の台2-6-12","","14200642-6-12","03-3787-0232","03-3786-8284","100094","㈱ヨシダ宝飾","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100095","貴船ファーイースト","","貴船ファーイースト","ｷﾌﾈﾌｧｰ","476-0011","愛知県東海市","富木島町貴船46","","476001146","052-601-8060","052-601-0369","100095","貴船ファーイースト","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100096","フェデラルエクスプレス","ジャパン　合同会社","ﾌｪﾃﾞﾗﾙｴｸｽﾌﾟﾚｽ","ﾌｪﾃﾞﾗﾙ","261-7110","千葉県千葉市美浜区","中瀬2丁目6番地","ﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ　ﾏﾘﾌﾞｳｴｽﾄ","26171902-6","0120-732327","","100096","ﾌｪﾃﾞﾗﾙｴｸｽﾌﾟﾚｽ","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","免税「税抜扱い」","","",0,"","明細転記","","","",469611,223708,"000000","","西暦","","表示","出力対象",0
