"得意先ｺｰﾄﾞ","得意先名１","得意先名２","得意先名略称","得意先名索引","郵便番号","住所１","住所２","住所３","電話番号","ＦＡＸ番号","取引区分名","請求先ｺｰﾄﾞ","請求先名","請求先区分名","担当者ｺｰﾄﾞ","担当者名","締日１","締日２","締日３","入金日１","入金日２","入金日３","入金ｻｲｸﾙ１","入金ｻｲｸﾙ名１","入金ｻｲｸﾙ２","入金ｻｲｸﾙ名２","入金ｻｲｸﾙ３","入金ｻｲｸﾙ名３","入金条件１","入金条件名１","入金条件２","入金条件名２","入金条件３","入金条件名３","与信限度額"
"100109","有限会社　サンプランマイド","","㈲サンプランマイド","ｻﾝﾌﾟﾗﾝ","110-0015","東京都台東区","東上野2-10-13","フォーチュン福田2F","03-5812-8035","03-5812-5905","","100109","㈲サンプランマイド","通常","000005","㈱インテック",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"100118","有限会社　ココデス","","㈲ココデス","ｺｺﾃﾞｽ","332-0001","埼玉県川口市","朝日1-21-17","","090-9348-6924","048-226-7233","","100118","㈲ココデス","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1000000
"100120","株式会社　長屋商会","","㈱長屋商会","ﾅｶﾞﾔｼｮ","567-0887","大阪府茨木市","西中条町3番　ＮＳビル3階","","072-645-0770","072-645-0778","","100120","㈱長屋商会","通常","000015","石井",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",2000000
"100123","有限会社　ジュリア商会","","㈲ジュリア商会","ｼﾞｭﾘｱｼ","110-0005","東京都台東区","上野3-7-8","","03-3837-2676","03-3837-2709","","100123","㈲ジュリア商会","通常","000009","赤木",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"100126","ｴｶﾞﾅｺﾞｰﾙﾄﾞﾌｧｲﾙｼﾞｬﾊﾟﾝ","株式会社","ｴｶﾞﾅｺﾞｰﾙﾄﾞﾌｧｲﾙｼﾞｬﾊﾟﾝ","ｴｶﾞﾅｺﾞ","171-0021","東京都豊島区","西池袋5-26-19","陸王西池袋ビル7F","03-5995-2806","03-5995-2775","","100126","ｴｶﾞﾅｺﾞｰﾙﾄﾞﾌｧｲﾙｼﾞｬﾊﾟﾝ","通常","000003","岡田",20,0,0,30,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"100132","マルマン　株式会社","ヘルスケア事業部","マルマン㈱","ﾏﾙﾏﾝ ｶﾌﾞｼｷ","101-0021","東京都千代田区","外神田1-8-13","NREG秋葉原ビル　4F","03-3526-9980","03-3526-9981","","100132","マルマン㈱","通常","000020","高橋寛",30,0,0,10,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",5000000
"100134","株式会社　和工","","㈱和工","ﾜｺｳ","335-0033","埼玉県戸田市","笹目北町12-11","","048-421-9831","048-422-1859","","100134","㈱和工","通常","000011","三島",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1000000
"100135","株式会社　リンク","","㈱リンク","ﾘﾝｸ","557-0031","大阪府大阪市西成区","鶴見橋2-8-12","","06-7504-8463","06-6568-0775","","100135","㈱リンク","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",200000
"100138","株式会社　五十君商店","","㈱五十君商店","ｲｷﾞﾐｼｮ","110-0005","東京都台東区","上野5-24-1","","03-3831-8035","03-3835-9451","","100138","㈱五十君商店","通常","000008","河田",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",20000
"100146","原田商会　株式会社","","原田商会㈱","ﾊﾗﾀﾞｼｮ","532-0031","大阪府大阪市淀川区","加島3-2-15","","06-6306-0777","06-6306-0766","","100146","原田商会㈱","通常","000015","石井",30,0,0,15,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",500000
"100148","株式会社　フレグリー","","㈱フレグリー","ﾌﾚｸﾞﾘｰ","271-0092","千葉県松戸市","松戸2060","松戸商工会議所　別館　3F","047-711-5750","047-711-5740","","100148","㈱フレグリー","通常","000020","高橋寛",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",300000
"100159","株式会社　ｼｪﾙｳｯﾄﾞｱﾝﾄﾞﾃｨﾌｧﾆｰ","","㈱ｼｪﾙｳｯﾄﾞｱﾝﾄﾃｨﾌｧﾆｰ","ｼｪﾙｳｯﾄ","541-0054","大阪府大阪市中央区","南本町1-3-5","JSKビル","06-6261-4281","06-6261-4280","","100159","㈱ｼｪﾙｳｯﾄﾞｱﾝﾄﾃｨﾌｧﾆｰ","通常","000011","三島",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",5000000
"100164","ランガージャパン　株式会社","","ランガージャパン㈱","ﾗﾝｶﾞｰｼ","162-0845","東京都新宿区","市谷本村町3-28","新日本市ヶ谷ビル1F","03-6265-0030","03-6265-0031","","100164","ランガージャパン㈱","通常","000011","三島",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"100165","株式会社　タルガ","","㈱タルガ","ﾀﾙｶﾞ","104-0061","東京都中央区","銀座2-12-12","深山ビル　6階A","03-5550-2355","03-5550-2352","","100165","㈱タルガ","通常","000020","高橋寛",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"100176","BEIJING BLOSSOM INTERNATIONAL","TRADE CO., LTD","BEIJING BLOSSOM INTE","BEIJIN","","","","","","","","100176","BEIJING BLOSSOM INTE","通常","000001","高橋",90,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0,"",0
"100177","オフィスハッシュ　株式会社","","オフィスハッシュ㈱","ｵﾌｨｽﾊｯ","150-0021","東京都渋谷区","恵比寿西2-20-8","パーフェクトルーム617","03-3476-0003","03-5784-4727","","100177","オフィスハッシュ㈱","通常","000011","三島",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",100000
"100180","アクセソ・モーダ","","アクセソ・モーダ","ｱｸｾｿ･ﾓ","631-0078","奈良県奈良市","富雄元町2丁目3-29-1","上田ビル305","0742-55-1700","0742-55-1700","","100180","アクセソ・モーダ","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",100000
"100190","株式会社　シーマジャパン","","㈱シーマジャパン","ｼｰﾏｼﾞｬ","354-0014","埼玉県富士見市","水谷2-10-4","","049-254-1511","049-254-1510","","100190","㈱シーマジャパン","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",50000
"100193","株式会社　アースライズ","","㈱アースライズ","ｱｰｽﾗｲｽ","333-0831","埼玉県川口市","木曽呂466-10","","048-299-4953","048-299-4954","","100193","㈱アースライズ","通常","000008","河田",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",100000
"100216","ファーストランニング　株式会社","","ファーストランニング","ﾌｧｰｽﾄﾗﾝﾆﾝｸ","110-0016","東京都台東区","台東4-24-7","須田ビル3F","03-5818-5290","03-5818-5390","","100216","ファーストランニング","通常","000011","三島",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",100000
"100219","株式会社　テソロ","ブロードウェイ　東戸塚店","㈱テソロ","ﾃｿﾛ","244-0805","神奈川県横浜市戸塚区","川上町52-1","ｵﾘﾝﾋﾟｯｸｵﾘｰﾌﾞ東戸塚店2F","045-821-0077","045-821-3600","","100219","㈱テソロ","通常","000019","松宮",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"100224","株式会社　フィラ・ビューテック","","㈱ﾌｨﾗ･ﾋﾞｭｰﾃｯｸ","ﾌｨﾗ･ﾋﾞｭｰﾃｯ","910-0034","福井県福井市","菅谷2-3-14","","0776-21-4472","0776-21-9868","","100224","㈱ﾌｨﾗ･ﾋﾞｭｰﾃｯｸ","通常","000015","石井",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"100230","吉田　株式会社","","吉田　株式会社","ﾖｼﾀﾞ ｶﾌﾞｼｷ","111-0041","東京都台東区","元浅草2-3-4","","03-3842-0531","03-3842-0537","","100230","吉田　株式会社","通常","000020","高橋寛",30,0,0,15,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"100246","株式会社　フォロー","","㈱フォロー","ﾌｫﾛｰ","110-0015","東京都台東区","東上野1-25-3-202","","03-5816-8701","03-3837-8703","","100246","㈱フォロー","通常","000015","石井",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",500000
"200001","有限会社　アーネスト","","㈲アーネスト","ｱｰﾈｽﾄ","116-0014","東京都荒川区","東日暮里4-26-9","","03-3807-4873","03-3807-4852","","200001","㈲アーネスト","通常","000005","㈱インテック",20,0,0,25,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200002","ＩＡＳ　株式会社","","ＩＡＳ㈱","ｱｲｴｰｴｽ","164-0003","東京都中野区","東中野3-2-9","戸田ビル1F","03-3366-1472","03-3366-1458","","200002","ＩＡＳ㈱","通常","000003","岡田",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200003","株式会社　旭創業","","㈱旭創業","ｱｻﾋｿｳｷ","558-0041","大阪府大阪市住吉区","南住吉1-4-21","","06-6695-5121","06-6695-3764","","200003","㈱旭創業","通常","000001","高橋",30,0,0,25,0,0,1,"翌月",0,"",0,"",2,"手形",0,"",0,"",1
"200004","株式会社　アスカ","","㈱アスカ","ｱｽｶ","110-0015","東京都台東区","東上野1-14-9","中島ビル4F","03-3836-0951","03-3836-1180","","200004","㈱アスカ","通常","000001","高橋",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200005","イワサキ商会","","イワサキ商会","ｲﾜｻｷｼｮ","355-0037","埼玉県東松山市","若松町2-11-11","","0493-23-7761","0493-24-6429","","200005","イワサキ商会","通常","000009","赤木",20,0,0,10,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200006","有限会社　アベトレーディング","","㈲アベトレーデｨング","ｱﾍﾞﾄﾚｰ","270-0114","千葉県流山市","東初石3-111-1","E-101","0471-53-9264","0471-53-5546","","200006","㈲アベトレーデｨング","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200007","株式会社　池商","","㈱池商","ｲｹｼｮｳ","950-0162","新潟県新潟市江南区","亀田大月2-465-5","","025-383-0100","","","200007","㈱池商","通常","000001","高橋",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200008","株式会社　インターフェース","","㈱インターフェイス","ｲﾝﾀｰﾌｪ","134-0086","東京都江戸川区","臨海町3-6-4","BECビル408","03-3804-6051","03-3804-5424","","200008","㈱インターフェイス","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200009","株式会社　インポートフジイ","","㈱インポートフジイ","ｲﾝﾎﾟｰﾄ","110-0005","東京都台東区","上野1-18-11","山光堂ビル　5F","03-3832-0036","03-3837-3912","","200009","㈱インポートフジイ","通常","000015","石井",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1000000
"200010","株式会社　ウィル","","㈱ウィル","ｳｨﾙ","910-0856","福井県福井市","勝見3-21-12","","0776-26-8070","0776-26-8507","","200010","㈱ウィル","通常","000009","赤木",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200011","植田商店","","植田商店","ｳｴﾀﾞｼｮ","112-0001","東京都文京区","白山5-11-9","","03-3944-6615","03-3944-6615","","200011","植田商店","通常","000008","河田",30,0,0,30,0,0,0,"当月",0,"",0,"",9,"指定なし",0,"",0,"",200000
"200012","江井　株式会社","","江井㈱","ｴｲ","101-0044","東京都千代田区","鍛冶町1-10-7","太洋第3ビル　2F","03-3252-2392","03-3252-2558","","200012","江井㈱","通常","000003","岡田",30,0,0,10,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",50000
"200013","株式会社　ビー・エイブル","","㈱ﾋﾞｰ・ｴｲﾌﾞﾙ","ﾋﾞｰｴｲﾌ","381-2221","長野県長野市","川中島町御厨1831-1","","026-285-3078","026-285-3381","","200013","㈱ﾋﾞｰ・ｴｲﾌﾞﾙ","通常","000009","赤木",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",100000
"200014","有限会社　エースウォッチジャパン","","㈲ｴｰｽｳｫｯﾁｼﾞｬﾊﾟﾝ","ｴｰｽｳｫｯ","111-0055","東京都台東区","三筋2-9-7","2・9・7BUILDING3F","03-3862-1995","03-3862-1997","","200014","㈲ｴｰｽｳｫｯﾁｼﾞｬﾊﾟﾝ","通常","000005","㈱インテック",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200015","株式会社","エー・エス・ネットワーク","㈱ｴｰ･ｴｽ･ﾈｯﾄﾜｰｸ","ｴｰｴｽﾈｯ","231-0023","神奈川県横浜市中区","山下町162-1","飛栄ビル3F","045-211-1730","045-211-1740","","200015","㈱ｴｰ･ｴｽ･ﾈｯﾄﾜｰｸ","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"200016","エスカム　株式会社","","エスカム㈱","ｴｽｶﾑ","110-0005","東京都台東区","上野7-9-15","車坂ビル2F","03-5806-1381","03-5806-1382","","200016","エスカム㈱","通常","000019","松宮",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1500000
"200017","株式会社　エスパル","","㈱エスパル","ｴｽﾊﾟﾙ","111-0053","東京都台東区","浅草橋3-3-1","田村ビル501","03-5823-1791","03-5823-1790","","200017","㈱エスパル","本店","000019","松宮",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",2000000
"200018","株式会社　いいもの王国","","㈱いいもの王国","ｲｲﾓﾉｵｳ","2478630","神奈川県横浜市栄区飯島町109-1","","","045-890-1600","045-890-1601","","200018","㈱いいもの王国","通常","000020","高橋寛",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",300000
"200019","株式会社　エヌ・ワイ・ピー","","㈱エヌワイピー","ｴﾇ･ﾜｲ･","110-0015","東京都台東区","東上野3-15-14","ウエノエストビル2F","03-3833-7021","03-3837-4090","","200019","㈱エヌワイピー","通常","000001","高橋",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200020","有限会社　ＭＫ商事","","㈲ＭＫ商事","ｴﾑｹｲｼｮ","815-0004","福岡県福岡市南区","高木3-18-6","第2タカハコーポ　A-101号","092-582-8151","092-582-8141","","200020","㈲ＭＫ商事","通常","000008","河田",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",2000000
"200021","株式会社　エルシオン","","㈱エルシオン","ｴﾙｼｵﾝ","106-0045","東京都港区","麻布十番1-5-8","ヴェスタビル3F","03-5474-8871","03-3408-5527","","200021","㈱エルシオン","通常","000020","高橋寛",20,0,0,20,0,0,1,"翌月",0,"",0,"",2,"手形",0,"",0,"",15000000
"200022","近江屋写真用品　株式会社","","近江屋写真用品㈱","ｵｳﾐﾔｼｬ","132-0035","東京都江戸川区","平井5-1-1","日本通運㈱平井支店内　K号棟　1F","03-5247-3720","03-5247-3721","","200022","近江屋写真用品㈱","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200023","株式会社　オーバル","","㈱オーバル","ｵｰﾊﾞﾙ","340-0015","埼玉県草加市","高砂2-2-32","浅古ビル4F","048-923-1516","048-923-1517","","200023","㈱オーバル","通常","000015","石井",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",15000000
"200024","有限会社　オリバー","","㈲オリバー","ｵﾘﾊﾞｰ","124-0003","東京都葛飾区","お花茶屋3-24-7","","03-5680-7438","03-5680-7478","","200024","㈲オリバー","通常","000008","河田",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
"200025","有限会社　キャッスルプロダクツ","","㈲ｷｬｯｽﾙﾌﾟﾛﾀﾞｸﾂ","ｷｬｯｽﾙﾌ","116-0014","東京都荒川区","東日暮里5-35-5","サカエビル1F","03-3806-1461","03-3806-8639","","200025","㈲ｷｬｯｽﾙﾌﾟﾛﾀﾞｸﾂ","通常","000005","㈱インテック",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200026","有限会社　きゃろっとサプライ","","㈲きゃろっとサプライ","ｷｬﾛｯﾄｻ","063-0054","北海道札幌市西区","宮の沢四条3丁目16番25号","","011-665-1001","011-665-2030","","200026","㈲きゃろっとサプライ","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200027","有限会社　協立企画","","㈲協立企画","ｷｮｳﾘﾂｷ","339-0065","埼玉県岩槻市","宮町2-13-19","","048-756-2043","048-756-2043","","200027","㈲協立企画","通常","000005","㈱インテック",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200028","株式会社　協和時販","","㈱協和時販","ｷｮｳﾜｼﾞ","110-0015","東京都台東区","東上野3-15-13","スエヒロビル4F","03-3833-1651","03-3833-1658","","200028","㈱協和時販","通常","000009","赤木",20,0,0,30,0,0,1,"翌月",0,"",0,"",2,"手形",0,"",0,"",1000000
"200029","クリーンタイム　株式会社","","クリーンタイム㈱","ｸﾘｰﾝﾀｲ","113-0033","東京都文京区","本郷1-28-13-206","","03-3816-2875","03-3816-2876","","200029","クリーンタイム㈱","通常","000003","岡田",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200030","株式会社　クレーマ","","㈱クレーマ","ｸﾚｰﾏ","551-0023","大阪府大阪市大正区","鶴町1-1-31","","06-4394-0501","06-4394-0502","","200030","㈱クレーマ","通常","000009","赤木",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200031","株式会社　クレファー","","㈱クレファー","ｸﾚﾌｧｰ","104-0041","東京都中央区","新富1-31-21","ヤマト第一ビル2F","03-3552-2531","03-3552-2536","","200031","㈱クレファー","通常","000003","岡田",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1000000
"200032","有限会社　クマモト","","㈲クマモト","ｸﾏﾓﾄ","238-0313","神奈川県横須賀市","武3-17-12-1103","","0468-57-9146","0468-57-9146","","200032","㈲クマモト","通常","000003","岡田",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200033","株式会社　ホーク","","㈱ホーク","ﾎｰｸ","110-0016","東京都台東区","台東3-41-10","精工ビル","03-3835-3966","03-3835-3715","","200033","㈱ホーク","通常","000003","岡田",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"200034","グローバルタイムジャパン株式会社","","ｸﾞﾛｰﾊﾞﾙﾀｲﾑｼﾞｬﾊﾟﾝ㈱","ｸﾞﾛｰﾊﾞ","153-0063","東京都目黒区","目黒4-21-19-203","","03-3353-5696","","","200034","ｸﾞﾛｰﾊﾞﾙﾀｲﾑｼﾞｬﾊﾟﾝ㈱","通常","000001","高橋",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200035","株式会社　ケイアンドオー","","㈱ケイアンドオー","ｹｲｱﾝﾄﾞ","543-0025","大阪府大阪市天王寺区","下味原町3-9","BWI下味原ビル7F","06-6774-1800","06-6774-1801","","200035","㈱ケイアンドオー","通常","000003","岡田",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"200036","コスモインターナショナル","株式会社","ｺｽﾓｲﾝﾀｰﾅｼｮﾅﾙ㈱","ｺｽﾓｲﾝﾀ","115-0045","東京都北区","赤羽2-48-5-4F","","03-5249-5233","","","200036","ｺｽﾓｲﾝﾀｰﾅｼｮﾅﾙ㈱","通常","000001","高橋",20,0,0,15,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
